Company,Role,Experience Level (Years),Salary (INR in LPA)
HCL,Financial Analyst,3-5,7.6
IBM,Financial Analyst,3-5,8.2
KPMG,Marketing Analyst,3-5,7.3
ZS Associates,Data Analyst,1-2,5.7
ZS Associates,Data Analyst,1-2,6
Infosys,Business Analyst,2-3,6.7
ZS Associates,Marketing Analyst,3-5,7.2
Deloitte,Business Analyst,0-1,5.1
ZS Associates,Data Analyst,2-3,6.9
KPMG,Financial Analyst,3-5,8.3
Capgemini,Marketing Analyst,2-3,6.2
Deloitte,Marketing Analyst,7+,11.4
Genpact,Data Analyst,2-3,7.4
ZS Associates,Operations Analyst,1-2,4.9
TCS,Financial Analyst,5-7,9.9
ZS Associates,Marketing Analyst,0-1,4.2
PwC,Financial Analyst,0-1,4.6
Deloitte,Marketing Analyst,2-3,5.3
Genpact,Operations Analyst,2-3,5.4
TCS,Financial Analyst,2-3,6.8
IBM,Data Analyst,5-7,10.7
IBM,Operations Analyst,2-3,6.5
Deloitte,Marketing Analyst,3-5,7.7
Genpact,Operations Analyst,7+,10.4
ZS Associates,Operations Analyst,5-7,9.2
Deloitte,Operations Analyst,2-3,5.3
Deloitte,Financial Analyst,1-2,5.5
ZS Associates,Business Analyst,7+,13.3
Capgemini,Business Analyst,7+,13.9
Infosys,Business Analyst,2-3,6.5
Capgemini,Data Analyst,0-1,3.9
Wipro,Operations Analyst,1-2,5.1
ZS Associates,Operations Analyst,3-5,7.3
McKinsey,Data Analyst,3-5,8.3
Genpact,Marketing Analyst,2-3,6.6
Infosys,Marketing Analyst,1-2,5.1
TCS,Financial Analyst,0-1,4.4
McKinsey,Operations Analyst,7+,10.3
PwC,Business Analyst,7+,13
Cognizant,Financial Analyst,3-5,8.7
IBM,Marketing Analyst,3-5,7.2
Accenture,Marketing Analyst,7+,11
Cognizant,Financial Analyst,3-5,7.9
HCL,Business Analyst,3-5,7.8
McKinsey,Business Analyst,5-7,10
McKinsey,Operations Analyst,7+,10.8
Accenture,Data Analyst,1-2,5.9
McKinsey,Data Analyst,1-2,5.3
ZS Associates,Operations Analyst,5-7,8.7
Deloitte,Operations Analyst,5-7,8.1
IBM,Business Analyst,2-3,7.9
Accenture,Data Analyst,5-7,9.9
McKinsey,Business Analyst,5-7,11.9
Infosys,Marketing Analyst,0-1,5.3
McKinsey,Business Analyst,7+,12.8
Accenture,Marketing Analyst,1-2,5
Capgemini,Operations Analyst,5-7,9.2
PwC,Business Analyst,0-1,5.2
PwC,Marketing Analyst,1-2,5.5
KPMG,Marketing Analyst,0-1,5.3
Accenture,Marketing Analyst,2-3,5
Deloitte,Data Analyst,1-2,5.2
IBM,Business Analyst,5-7,10.6
KPMG,Business Analyst,2-3,7.6
HCL,Business Analyst,1-2,5.4
McKinsey,Business Analyst,2-3,6.7
Accenture,Business Analyst,5-7,10.8
Wipro,Operations Analyst,3-5,7.2
PwC,Business Analyst,5-7,11
ZS Associates,Financial Analyst,0-1,4.5
Deloitte,Operations Analyst,3-5,7.2
Deloitte,Operations Analyst,0-1,3.7
Deloitte,Marketing Analyst,0-1,3.5
TCS,Operations Analyst,2-3,6
Cognizant,Marketing Analyst,2-3,5.9
McKinsey,Operations Analyst,5-7,8.3
Wipro,Operations Analyst,3-5,6.4
Accenture,Data Analyst,5-7,10.2
Wipro,Business Analyst,3-5,9.3
ZS Associates,Business Analyst,1-2,5.6
Infosys,Operations Analyst,1-2,4.9
ZS Associates,Business Analyst,2-3,6.8
Accenture,Financial Analyst,5-7,10.6
Deloitte,Marketing Analyst,0-1,3.9
Cognizant,Financial Analyst,5-7,11.2
IBM,Financial Analyst,1-2,5.6
IBM,Business Analyst,3-5,8.5
IBM,Operations Analyst,0-1,4.4
IBM,Data Analyst,3-5,8.6
Deloitte,Data Analyst,0-1,4.6
Accenture,Marketing Analyst,2-3,6
KPMG,Marketing Analyst,0-1,5.3
Genpact,Data Analyst,5-7,10.2
TCS,Financial Analyst,0-1,4.7
Capgemini,Marketing Analyst,5-7,8.7
Capgemini,Business Analyst,3-5,7.9
IBM,Business Analyst,3-5,9.3
IBM,Operations Analyst,0-1,3.8
Cognizant,Data Analyst,0-1,3.7
Deloitte,Operations Analyst,3-5,6.2
HCL,Financial Analyst,5-7,10.8
TCS,Business Analyst,2-3,7.4
EY,Business Analyst,7+,13.7
EY,Financial Analyst,5-7,10.3
TCS,Data Analyst,1-2,4.9
Cognizant,Data Analyst,2-3,5.6
TCS,Financial Analyst,2-3,7.5
Deloitte,Operations Analyst,0-1,3
Deloitte,Operations Analyst,7+,10
IBM,Data Analyst,5-7,10.8
Accenture,Business Analyst,1-2,6.2
KPMG,Data Analyst,5-7,9.5
KPMG,Operations Analyst,5-7,8.7
PwC,Data Analyst,0-1,3
KPMG,Financial Analyst,1-2,5.7
IBM,Data Analyst,7+,12.2
Cognizant,Operations Analyst,5-7,9.5
Genpact,Business Analyst,2-3,6.8
IBM,Business Analyst,7+,12.8
EY,Business Analyst,1-2,5.4
Cognizant,Business Analyst,3-5,7.5
ZS Associates,Data Analyst,3-5,8.1
Deloitte,Operations Analyst,5-7,7.9
PwC,Business Analyst,0-1,4.1
Capgemini,Operations Analyst,1-2,4.8
TCS,Operations Analyst,1-2,5.4
Wipro,Financial Analyst,0-1,4.1
Infosys,Financial Analyst,7+,12
PwC,Data Analyst,2-3,6.8
KPMG,Financial Analyst,5-7,10.5
KPMG,Financial Analyst,5-7,10.7
Accenture,Business Analyst,3-5,8.4
TCS,Data Analyst,5-7,10
ZS Associates,Marketing Analyst,1-2,4.4
McKinsey,Data Analyst,0-1,3.9
TCS,Financial Analyst,5-7,10.6
PwC,Business Analyst,3-5,8.1
Infosys,Business Analyst,5-7,11.2
Infosys,Financial Analyst,3-5,7.8
HCL,Business Analyst,1-2,5.4
ZS Associates,Operations Analyst,3-5,6.2
McKinsey,Data Analyst,0-1,4.2
IBM,Data Analyst,0-1,4
HCL,Marketing Analyst,0-1,4.7
HCL,Business Analyst,3-5,8.8
Cognizant,Business Analyst,0-1,4
Accenture,Marketing Analyst,1-2,5.5
EY,Financial Analyst,2-3,6.8
Deloitte,Operations Analyst,7+,10.6
Accenture,Marketing Analyst,7+,10.7
Cognizant,Data Analyst,2-3,6.1
KPMG,Operations Analyst,3-5,7.4
Cognizant,Data Analyst,7+,12.1
Capgemini,Financial Analyst,7+,12.5
Capgemini,Business Analyst,2-3,7.4
HCL,Marketing Analyst,5-7,8.7
KPMG,Marketing Analyst,0-1,3.7
PwC,Data Analyst,3-5,8.1
TCS,Operations Analyst,7+,10
Wipro,Marketing Analyst,5-7,8.7
EY,Business Analyst,5-7,11
Infosys,Business Analyst,3-5,8.8
PwC,Data Analyst,5-7,9.5
ZS Associates,Data Analyst,0-1,4.1
Infosys,Financial Analyst,7+,13.7
Cognizant,Data Analyst,5-7,10.2
ZS Associates,Business Analyst,3-5,8.2
KPMG,Financial Analyst,0-1,5
HCL,Financial Analyst,0-1,5.6
Accenture,Marketing Analyst,7+,10.8
KPMG,Financial Analyst,7+,12.7
McKinsey,Marketing Analyst,0-1,4.1
Capgemini,Financial Analyst,5-7,11
TCS,Data Analyst,0-1,4.7
Infosys,Business Analyst,7+,12.9
Accenture,Financial Analyst,2-3,5.9
KPMG,Business Analyst,3-5,8.1
Cognizant,Operations Analyst,0-1,4.5
PwC,Operations Analyst,7+,10.5
ZS Associates,Data Analyst,5-7,10.4
Genpact,Marketing Analyst,7+,10.6
EY,Business Analyst,5-7,10.8
TCS,Operations Analyst,3-5,7.4
HCL,Marketing Analyst,5-7,8.5
PwC,Marketing Analyst,5-7,10.5
EY,Financial Analyst,2-3,7
Wipro,Financial Analyst,5-7,11.4
PwC,Financial Analyst,7+,12.6
Capgemini,Business Analyst,7+,13.4
Wipro,Marketing Analyst,1-2,5.1
ZS Associates,Data Analyst,3-5,9.3
Wipro,Marketing Analyst,3-5,8.4
Capgemini,Operations Analyst,1-2,5.1
Deloitte,Marketing Analyst,1-2,4.7
PwC,Data Analyst,0-1,4.3
Cognizant,Financial Analyst,5-7,11.2
McKinsey,Marketing Analyst,0-1,3.9
Accenture,Business Analyst,0-1,4.9
McKinsey,Financial Analyst,7+,12
EY,Business Analyst,2-3,6.8
Wipro,Financial Analyst,3-5,9
Wipro,Financial Analyst,7+,12.5
TCS,Operations Analyst,0-1,3.3
Deloitte,Operations Analyst,2-3,5.3
PwC,Data Analyst,0-1,4.8
PwC,Marketing Analyst,5-7,8.7
HCL,Financial Analyst,2-3,6.3
Capgemini,Financial Analyst,7+,12.2
HCL,Operations Analyst,7+,10.2
Capgemini,Financial Analyst,1-2,6.3
EY,Business Analyst,7+,12.5
IBM,Data Analyst,1-2,6.3
PwC,Data Analyst,5-7,10
Infosys,Financial Analyst,1-2,6.2
IBM,Data Analyst,3-5,7.3
EY,Operations Analyst,0-1,3.2
Infosys,Financial Analyst,5-7,10.7
Capgemini,Data Analyst,5-7,10.3
Cognizant,Business Analyst,2-3,6.5
Capgemini,Financial Analyst,3-5,7.4
EY,Business Analyst,0-1,4.5
Infosys,Operations Analyst,2-3,6.5
Deloitte,Operations Analyst,3-5,7.5
Wipro,Business Analyst,1-2,5.8
PwC,Operations Analyst,5-7,8.8
TCS,Data Analyst,1-2,5.3
McKinsey,Marketing Analyst,0-1,4.4
McKinsey,Financial Analyst,7+,11.8
EY,Financial Analyst,0-1,4.7
Genpact,Data Analyst,1-2,4.8
TCS,Financial Analyst,7+,12.9
PwC,Business Analyst,1-2,6.1
Accenture,Financial Analyst,7+,12.8
EY,Operations Analyst,1-2,4
Deloitte,Operations Analyst,0-1,4.3
TCS,Business Analyst,3-5,8.6
IBM,Operations Analyst,0-1,4.5
Accenture,Business Analyst,5-7,10.8
Genpact,Business Analyst,7+,13.6
EY,Marketing Analyst,7+,10.8
PwC,Financial Analyst,1-2,5.9
HCL,Operations Analyst,2-3,5.3
Deloitte,Financial Analyst,2-3,6.1
TCS,Business Analyst,7+,13
McKinsey,Marketing Analyst,3-5,6.9
KPMG,Financial Analyst,3-5,8.2
HCL,Financial Analyst,1-2,5.5
ZS Associates,Business Analyst,1-2,6
Wipro,Business Analyst,0-1,5.9
Infosys,Financial Analyst,2-3,6.6
Wipro,Financial Analyst,0-1,4.5
HCL,Data Analyst,1-2,5.6
IBM,Financial Analyst,5-7,11.5
Deloitte,Operations Analyst,7+,10.5
EY,Data Analyst,3-5,8
Cognizant,Financial Analyst,1-2,5.9
McKinsey,Data Analyst,1-2,5.3
Accenture,Business Analyst,7+,13.2
KPMG,Business Analyst,2-3,6.7
Infosys,Operations Analyst,1-2,5.5
Infosys,Data Analyst,7+,10.6
Cognizant,Financial Analyst,3-5,7.7
Infosys,Marketing Analyst,0-1,4.8
PwC,Operations Analyst,7+,11
HCL,Business Analyst,3-5,7.8
Genpact,Business Analyst,2-3,7
KPMG,Financial Analyst,7+,13
PwC,Operations Analyst,7+,11.8
IBM,Data Analyst,1-2,5.2
Genpact,Data Analyst,3-5,7.6
KPMG,Operations Analyst,7+,10.9
Capgemini,Business Analyst,3-5,8.8
Deloitte,Operations Analyst,7+,11.3
Cognizant,Data Analyst,0-1,4
Wipro,Business Analyst,5-7,10.9
HCL,Operations Analyst,2-3,5.9
Cognizant,Financial Analyst,7+,12.5
HCL,Business Analyst,0-1,5
Capgemini,Marketing Analyst,5-7,9
Cognizant,Operations Analyst,2-3,5
EY,Data Analyst,1-2,5.5
ZS Associates,Data Analyst,1-2,5.2
Accenture,Data Analyst,0-1,5.1
KPMG,Marketing Analyst,1-2,4.2
KPMG,Business Analyst,1-2,6.1
Genpact,Data Analyst,2-3,6.2
Capgemini,Operations Analyst,0-1,4.3
ZS Associates,Marketing Analyst,7+,10.9
Capgemini,Financial Analyst,2-3,7.4
IBM,Operations Analyst,0-1,4
ZS Associates,Operations Analyst,2-3,5.7
Wipro,Business Analyst,3-5,7.8
Accenture,Business Analyst,1-2,5.6
TCS,Operations Analyst,3-5,7
KPMG,Business Analyst,2-3,7.5
Capgemini,Business Analyst,2-3,7.2
Capgemini,Financial Analyst,3-5,8.5
Deloitte,Financial Analyst,2-3,6.6
HCL,Data Analyst,5-7,9.5
McKinsey,Marketing Analyst,2-3,5.7
Wipro,Operations Analyst,1-2,5
ZS Associates,Financial Analyst,1-2,5.6
Genpact,Business Analyst,3-5,8.1
EY,Operations Analyst,5-7,8.4
HCL,Financial Analyst,0-1,4.5
ZS Associates,Data Analyst,1-2,5.8
KPMG,Financial Analyst,7+,13.6
Infosys,Business Analyst,0-1,5
IBM,Operations Analyst,5-7,8.9
TCS,Marketing Analyst,3-5,7.3
Wipro,Data Analyst,3-5,8.1
TCS,Data Analyst,1-2,5.2
Capgemini,Financial Analyst,1-2,5.8
EY,Operations Analyst,3-5,6.7
HCL,Marketing Analyst,5-7,9.2
Wipro,Data Analyst,7+,12.6
Wipro,Business Analyst,1-2,5.8
EY,Business Analyst,5-7,11
HCL,Operations Analyst,2-3,6.4
PwC,Business Analyst,7+,12.8
KPMG,Data Analyst,7+,11.8
IBM,Marketing Analyst,5-7,8.9
Wipro,Marketing Analyst,7+,11.3
KPMG,Data Analyst,5-7,10
IBM,Business Analyst,5-7,11.1
KPMG,Data Analyst,0-1,4.8
IBM,Financial Analyst,3-5,9.1
Genpact,Data Analyst,0-1,5.3
Infosys,Financial Analyst,5-7,9.3
IBM,Operations Analyst,3-5,7.8
PwC,Marketing Analyst,0-1,5
TCS,Data Analyst,3-5,8.1
Accenture,Business Analyst,2-3,6.7
HCL,Data Analyst,5-7,9.9
Genpact,Financial Analyst,5-7,10.2
ZS Associates,Data Analyst,3-5,7.5
Deloitte,Marketing Analyst,0-1,4.2
Genpact,Marketing Analyst,3-5,8.1
EY,Marketing Analyst,0-1,3.9
EY,Data Analyst,0-1,4.3
Infosys,Business Analyst,7+,13.5
Infosys,Business Analyst,7+,13.5
McKinsey,Marketing Analyst,0-1,4.5
Capgemini,Financial Analyst,5-7,11.4
Capgemini,Business Analyst,3-5,8.7
Genpact,Marketing Analyst,7+,10.8
Wipro,Marketing Analyst,3-5,8.7
TCS,Business Analyst,7+,14
ZS Associates,Marketing Analyst,1-2,4.7
Genpact,Financial Analyst,1-2,5.3
Infosys,Operations Analyst,2-3,5.5
IBM,Business Analyst,7+,12.5
Capgemini,Data Analyst,2-3,6.9
KPMG,Marketing Analyst,1-2,4.3
TCS,Data Analyst,3-5,7.8
Deloitte,Operations Analyst,1-2,4.6
PwC,Marketing Analyst,3-5,8.3
Genpact,Marketing Analyst,3-5,6.7
Accenture,Business Analyst,3-5,9.5
EY,Business Analyst,3-5,7.7
KPMG,Business Analyst,7+,12.7
HCL,Marketing Analyst,2-3,6.7
Cognizant,Data Analyst,2-3,7.2
McKinsey,Marketing Analyst,7+,10.7
Genpact,Business Analyst,5-7,10.7
Accenture,Operations Analyst,0-1,4.3
Cognizant,Data Analyst,3-5,7.8
EY,Data Analyst,2-3,6.1
KPMG,Operations Analyst,5-7,8
Cognizant,Data Analyst,3-5,7.2
KPMG,Business Analyst,5-7,10.9
McKinsey,Marketing Analyst,7+,10.9
Capgemini,Financial Analyst,3-5,7.6
Deloitte,Data Analyst,7+,12.4
Accenture,Data Analyst,0-1,5.1
Capgemini,Marketing Analyst,3-5,7.6
Wipro,Operations Analyst,3-5,7.5
EY,Business Analyst,0-1,5.4
HCL,Data Analyst,2-3,6.5
TCS,Operations Analyst,5-7,9.7
PwC,Operations Analyst,1-2,5.2
Capgemini,Financial Analyst,2-3,6.8
Capgemini,Financial Analyst,1-2,6
Infosys,Marketing Analyst,7+,11.6
McKinsey,Marketing Analyst,1-2,4.5
Accenture,Data Analyst,5-7,10.5
TCS,Business Analyst,0-1,4.9
Infosys,Business Analyst,2-3,7
Deloitte,Business Analyst,0-1,6
IBM,Financial Analyst,0-1,5.4
KPMG,Operations Analyst,5-7,9.4
ZS Associates,Business Analyst,7+,13.5
ZS Associates,Operations Analyst,5-7,8.7
Cognizant,Data Analyst,2-3,6.4
Genpact,Marketing Analyst,7+,11.5
KPMG,Business Analyst,1-2,5.8
HCL,Financial Analyst,0-1,5.2
Capgemini,Data Analyst,5-7,9.5
Infosys,Operations Analyst,2-3,5.1
IBM,Operations Analyst,0-1,4.5
KPMG,Marketing Analyst,7+,12.1
McKinsey,Financial Analyst,2-3,7
EY,Data Analyst,2-3,6
Accenture,Business Analyst,1-2,5.8
McKinsey,Data Analyst,3-5,8
Accenture,Business Analyst,5-7,10.9
Wipro,Business Analyst,3-5,7.7
Wipro,Financial Analyst,5-7,10.4
Cognizant,Operations Analyst,3-5,7.6
Cognizant,Data Analyst,3-5,7.9
EY,Operations Analyst,3-5,7.3
Accenture,Marketing Analyst,7+,11.5
KPMG,Business Analyst,3-5,8.2
Genpact,Business Analyst,1-2,5.7
ZS Associates,Financial Analyst,3-5,7.4
McKinsey,Operations Analyst,0-1,3.2
PwC,Marketing Analyst,3-5,7.7
TCS,Data Analyst,3-5,8.1
Wipro,Operations Analyst,7+,10.3
TCS,Operations Analyst,7+,11.2
Cognizant,Business Analyst,1-2,6.2
ZS Associates,Operations Analyst,1-2,4.7
McKinsey,Financial Analyst,5-7,10.9
PwC,Business Analyst,2-3,7.2
ZS Associates,Business Analyst,2-3,7.4
PwC,Business Analyst,0-1,4.4
Deloitte,Financial Analyst,3-5,8.1
EY,Data Analyst,5-7,10.6
Wipro,Business Analyst,0-1,5.8
Genpact,Operations Analyst,5-7,9.1
EY,Financial Analyst,1-2,5
TCS,Operations Analyst,0-1,4.3
Infosys,Operations Analyst,7+,11.3
PwC,Operations Analyst,0-1,3.2
Deloitte,Financial Analyst,7+,13.3
ZS Associates,Marketing Analyst,5-7,8.6
Accenture,Marketing Analyst,2-3,6
Accenture,Business Analyst,2-3,6
KPMG,Business Analyst,3-5,8.7
EY,Data Analyst,2-3,6.4
Capgemini,Marketing Analyst,1-2,5.9
PwC,Operations Analyst,5-7,9.5
Infosys,Business Analyst,7+,13.3
Genpact,Data Analyst,3-5,8.7
PwC,Financial Analyst,7+,11.9
HCL,Marketing Analyst,2-3,6
ZS Associates,Operations Analyst,3-5,7.4
TCS,Business Analyst,0-1,5.1
PwC,Business Analyst,5-7,12.2
Genpact,Marketing Analyst,0-1,3.9
ZS Associates,Operations Analyst,1-2,4.2
Wipro,Data Analyst,0-1,5.2
Genpact,Business Analyst,3-5,8.5
EY,Financial Analyst,7+,12.6
Accenture,Marketing Analyst,1-2,5
IBM,Data Analyst,1-2,6.6
Genpact,Business Analyst,7+,13.3
Genpact,Financial Analyst,3-5,7.9
KPMG,Business Analyst,2-3,7.5
EY,Financial Analyst,1-2,5.8
McKinsey,Data Analyst,1-2,5.8
ZS Associates,Operations Analyst,7+,11
Deloitte,Operations Analyst,3-5,6.2
KPMG,Financial Analyst,0-1,5.1
EY,Operations Analyst,1-2,5.3
PwC,Data Analyst,3-5,8.1
Cognizant,Marketing Analyst,1-2,4.5
HCL,Marketing Analyst,7+,10.2
Cognizant,Financial Analyst,5-7,11.1
KPMG,Business Analyst,1-2,6
EY,Operations Analyst,0-1,3.3
Infosys,Financial Analyst,0-1,4.5
IBM,Data Analyst,3-5,7.8
PwC,Data Analyst,5-7,9.2
PwC,Marketing Analyst,3-5,8
TCS,Business Analyst,5-7,10.9
HCL,Financial Analyst,2-3,7.3
IBM,Operations Analyst,5-7,8.5
TCS,Operations Analyst,1-2,3.5
Infosys,Business Analyst,5-7,10.5
IBM,Financial Analyst,5-7,10.5
PwC,Operations Analyst,1-2,5.2
KPMG,Data Analyst,5-7,9.4
PwC,Operations Analyst,7+,10.7
Deloitte,Data Analyst,0-1,4.4
Capgemini,Data Analyst,0-1,4.2
HCL,Data Analyst,1-2,6.4
EY,Business Analyst,3-5,8.8
Infosys,Business Analyst,2-3,7.3
TCS,Data Analyst,0-1,4.5
KPMG,Operations Analyst,3-5,6.6
Deloitte,Operations Analyst,5-7,9.3
KPMG,Data Analyst,5-7,10.3
PwC,Operations Analyst,1-2,4.9
PwC,Financial Analyst,2-3,6.8
IBM,Financial Analyst,2-3,7.4
TCS,Business Analyst,7+,11.9
Cognizant,Marketing Analyst,0-1,4.7
ZS Associates,Data Analyst,1-2,5.1
Cognizant,Business Analyst,2-3,7.1
Genpact,Data Analyst,0-1,4
ZS Associates,Business Analyst,7+,12.8
PwC,Marketing Analyst,2-3,6.3
Capgemini,Business Analyst,7+,13.4
IBM,Business Analyst,2-3,7
McKinsey,Data Analyst,1-2,5.2
Wipro,Marketing Analyst,1-2,4.4
ZS Associates,Business Analyst,7+,13.2
IBM,Financial Analyst,7+,12.4
Deloitte,Operations Analyst,2-3,5.2
Infosys,Data Analyst,3-5,8.6
ZS Associates,Business Analyst,5-7,10.9
Capgemini,Marketing Analyst,2-3,6.8
TCS,Financial Analyst,0-1,4.8
Cognizant,Marketing Analyst,2-3,6
EY,Financial Analyst,3-5,8.4
HCL,Data Analyst,2-3,7.4
Cognizant,Financial Analyst,5-7,10.6
ZS Associates,Operations Analyst,1-2,4.4
McKinsey,Data Analyst,3-5,7.9
McKinsey,Business Analyst,2-3,6.6
ZS Associates,Business Analyst,5-7,11.4
Wipro,Business Analyst,0-1,5.7
HCL,Data Analyst,3-5,8.6
McKinsey,Marketing Analyst,0-1,4.2
Genpact,Data Analyst,1-2,5.9
KPMG,Financial Analyst,5-7,11.1
McKinsey,Marketing Analyst,5-7,9.6
TCS,Financial Analyst,1-2,6.1
Accenture,Operations Analyst,7+,9.7
ZS Associates,Operations Analyst,3-5,7.6
Deloitte,Marketing Analyst,5-7,8.7
McKinsey,Marketing Analyst,3-5,7.6
Capgemini,Business Analyst,7+,12.7
IBM,Financial Analyst,0-1,5.2
Cognizant,Financial Analyst,7+,13
McKinsey,Operations Analyst,3-5,7.4
KPMG,Operations Analyst,3-5,7.2
Deloitte,Business Analyst,3-5,8.2
Deloitte,Financial Analyst,3-5,8.3
Deloitte,Marketing Analyst,3-5,7.8
Cognizant,Financial Analyst,7+,12.7
McKinsey,Business Analyst,2-3,6.3
HCL,Financial Analyst,0-1,5.6
TCS,Data Analyst,2-3,7.3
HCL,Financial Analyst,5-7,10.2
Accenture,Marketing Analyst,0-1,3.5
Accenture,Business Analyst,5-7,11.5
Genpact,Business Analyst,2-3,7.7
Deloitte,Data Analyst,3-5,7.7
IBM,Marketing Analyst,3-5,7.7
ZS Associates,Marketing Analyst,0-1,4.1
IBM,Financial Analyst,3-5,8.1
Genpact,Business Analyst,7+,13.6
TCS,Marketing Analyst,0-1,4.1
HCL,Marketing Analyst,2-3,6.1
Deloitte,Financial Analyst,7+,11.9
Cognizant,Business Analyst,2-3,7
Infosys,Operations Analyst,1-2,5.1
McKinsey,Marketing Analyst,7+,11.4
McKinsey,Operations Analyst,0-1,3.4
KPMG,Financial Analyst,0-1,4.5
ZS Associates,Data Analyst,0-1,5.3
Capgemini,Operations Analyst,5-7,9
ZS Associates,Data Analyst,0-1,4.8
EY,Business Analyst,0-1,4.5
TCS,Data Analyst,1-2,5.4
McKinsey,Business Analyst,2-3,7.3
Capgemini,Marketing Analyst,2-3,7
McKinsey,Financial Analyst,2-3,6.5
Infosys,Operations Analyst,3-5,7.3
McKinsey,Marketing Analyst,7+,11.2
PwC,Marketing Analyst,7+,10.6
Wipro,Operations Analyst,0-1,4.8
Deloitte,Business Analyst,0-1,5.2
Capgemini,Financial Analyst,3-5,8.1
TCS,Marketing Analyst,0-1,5.8
Wipro,Business Analyst,2-3,7.1
Capgemini,Marketing Analyst,3-5,6.8
ZS Associates,Marketing Analyst,5-7,9.6
Cognizant,Business Analyst,1-2,6.3
IBM,Marketing Analyst,7+,10.7
KPMG,Operations Analyst,2-3,6.3
Wipro,Business Analyst,2-3,6.7
Accenture,Marketing Analyst,2-3,5.7
Accenture,Marketing Analyst,7+,10.6
ZS Associates,Marketing Analyst,2-3,6.1
Genpact,Data Analyst,5-7,9.5
TCS,Business Analyst,2-3,7.2
Infosys,Financial Analyst,5-7,11.1
ZS Associates,Marketing Analyst,1-2,6.3
McKinsey,Operations Analyst,2-3,6
PwC,Business Analyst,7+,12.9
KPMG,Marketing Analyst,3-5,6.8
Capgemini,Business Analyst,7+,13.5
KPMG,Marketing Analyst,3-5,6.7
IBM,Business Analyst,7+,13.1
Deloitte,Operations Analyst,2-3,5.6
Cognizant,Business Analyst,1-2,5.5
Wipro,Data Analyst,7+,12.4
Genpact,Financial Analyst,2-3,7.1
Deloitte,Marketing Analyst,5-7,8.4
Capgemini,Marketing Analyst,7+,11.6
ZS Associates,Marketing Analyst,3-5,7.4
McKinsey,Data Analyst,7+,11.7
Cognizant,Operations Analyst,2-3,5.5
PwC,Marketing Analyst,3-5,8.2
Deloitte,Data Analyst,2-3,6.9
Wipro,Financial Analyst,2-3,7
EY,Marketing Analyst,5-7,7.9
Genpact,Financial Analyst,3-5,8.6
Deloitte,Data Analyst,7+,11.9
ZS Associates,Financial Analyst,7+,12.7
KPMG,Financial Analyst,1-2,6.2
HCL,Data Analyst,2-3,6.7
IBM,Data Analyst,3-5,7.6
Capgemini,Operations Analyst,5-7,9.8
PwC,Data Analyst,7+,12
PwC,Data Analyst,7+,11.7
Wipro,Operations Analyst,2-3,6.2
ZS Associates,Marketing Analyst,2-3,5.6
PwC,Marketing Analyst,1-2,5.5
ZS Associates,Operations Analyst,7+,11.4
Deloitte,Marketing Analyst,2-3,6.4
Accenture,Operations Analyst,5-7,8.5
PwC,Operations Analyst,2-3,6.7
ZS Associates,Operations Analyst,0-1,4
PwC,Financial Analyst,0-1,4.2
KPMG,Business Analyst,3-5,8.4
HCL,Operations Analyst,2-3,6.5
KPMG,Marketing Analyst,3-5,7.4
IBM,Marketing Analyst,7+,10.6
